article_id,year,author
1576,2009,Sid Kouider
1577,2009,Alexander Kranjec
1577,2009,Eileen R Cardillo
1577,2009,Gwenda L Schmidt
1577,2009,Anjan Chatterjee
1579,2009,Vanja Kovic
1579,2009,Kim Plunkett
1579,2009,Gert Westermann
1580,2009,Nathaniel D Daw
1580,2009,Michael J Frank
1581,2009,Max M Louwerse
1581,2009,Patrick Jeuniaux
1582,2009,Ulrike Hahn
1582,2009,Mercè Prat-Sala
1582,2009,Emmanuel M Pothos
1582,2009,Duncan P Brumby
1583,2009,Gustaf Gredebäck
1583,2009,Annika Melinder
1584,2009,Michael R W Dawson
1584,2009,Debbie M Kelly
1584,2009,Marcia L Spetch
1584,2009,Brian Dupuis
1585,2009,Lin Luo
1585,2009,Gigi Luk
1585,2009,Ellen Bialystok
1586,2009,Claudia Civai
1586,2009,Corrado Corradi-Dell'Acqua
1586,2009,Matthias Gamer
1586,2009,Raffaella I Rumiati
1587,2009,Klaus Kessler
1587,2009,Lindsey Anne Thomson
1588,2009,Tyler K Perrachione
1588,2009,Joan Y Chiao
1588,2009,Patrick C M Wong
1589,2009,James Russell
1589,2009,Dean Alexis
1589,2009,Nicola Clayton
1590,2009,Kathleen H Corriveau
1590,2009,Angie L Kim
1590,2009,Courtney E Schwalen
1590,2009,Paul L Harris
1591,2009,H Henny Yeung
1591,2009,Janet F Werker
1592,2009,Thomas C Scott-Phillips
1592,2009,Simon Kirby
1592,2009,Graham R S Ritchie
1593,2009,David M Sobel
1594,2009,Ami Eidels
1594,2009,James T Townsend
1594,2009,Daniel Algom
1595,2009,Hannes Rakoczy
1595,2009,Michael Tomasello
1596,2009,Ian M Lyons
1596,2009,Sian L Beilock
1597,2009,Albert Costa
1597,2009,Mireia Hernández
1597,2009,Jordi Costa-Faidella
1597,2009,Núria Sebastián-Gallés
1598,2009,Andrew Hollingworth
1598,2009,Steven L Franconeri
1599,2009,Chris L Baker
1599,2009,Rebecca Saxe
1599,2009,Joshua B Tenenbaum
1600,2009,Jean-Philippe van Dijck
1600,2009,Wim Gevers
1600,2009,Wim Fias
1601,2009,Carl J Hodgetts
1601,2009,Ulrike Hahn
1601,2009,Nick Chater
1602,2009,Paulo Sousa
1602,2009,Colin Holbrook
1602,2009,Jared Piazza
1603,2009,Xiaomei Qiao
1603,2009,Kenneth Forster
1603,2009,Naoko Witzel
1604,2009,Bruna Pelucchi
1604,2009,Jessica F Hay
1604,2009,Jenny R Saffran
1605,2009,Mijke Rhemtulla
1605,2009,D Geoffrey Hall
1606,2009,Wim De Neys
1606,2009,Samuel Franssens
1607,2009,Daniel Schreij
1607,2009,Christian N L Olivers
1608,2009,Antonia F de C Hamilton
1608,2009,Rachel Brindley
1608,2009,Uta Frith
1609,2009,Susan Wagner Cook
1609,2009,Michael K Tanenhaus
1610,2009,Andrei Cimpian
1610,2009,Ellen M Markman
1611,2009,Jiaying Zhao
1611,2009,Anuj Shah
1611,2009,Daniel Osherson
1612,2009,Olivia S Cheung
1612,2009,William G Hayward
1612,2009,Isabel Gauthier
1613,2009,Derek J Koehler
1613,2009,Greta James
1614,2009,Katie L H Gray
1614,2009,Wendy J Adams
1614,2009,Matthew Garner
1615,2009,S L Franconeri
1615,2009,D K Bemis
1615,2009,G A Alvarez
1616,2009,Aitao Lu
1616,2009,Bert Hodges
1616,2009,Jijia Zhang
1616,2009,John X Zhang
1617,2009,Carla Krachun
1617,2009,Josep Call
1617,2009,Michael Tomasello
1618,2009,Debi Roberson
1618,2009,J Richard Hanley
1618,2009,Hyensou Pak
1619,2009,Stephen Stich
1619,2009,Daniel M T Fessler
1619,2009,Daniel Kelly
1620,2009,Susanne Grassmann
1620,2009,Marén Stracke
1620,2009,Michael Tomasello
1621,2009,Matthew Hudson
1621,2009,Chang Hong Liu
1621,2009,Tjeerd Jellema
1622,2009,Ellen Bialystok
1622,2009,Mythili Viswanathan
1623,2009,Jeremy R Reynolds
1623,2009,Randall C O'Reilly
1624,2009,Stavroula-Thaleia Kousta
1624,2009,David P Vinson
1624,2009,Gabriella Vigliocco
1625,2009,Mark A Sabbagh
1625,2009,Dana Shafman
1626,2009,Shogo Makioka
1627,2009,Thomas T Hills
1627,2009,Mounir Maouene
1627,2009,Josita Maouene
1627,2009,Adam Sheya
1627,2009,Linda Smith
1628,2009,Nicolas Vermeulen
1628,2009,Martial Mermillod
1628,2009,Jimmy Godefroid
1628,2009,Olivier Corneille
1629,2009,Simon M Laham
1629,2009,Adam L Alter
1629,2009,Geoffrey P Goodwin
1630,2009,Tânia Fernandes
1630,2009,Régine Kolinsky
1630,2009,Paulo Ventura
1631,2009,Olivier Mascaro
1631,2009,Dan Sperber
1632,2009,Christopher A Kurby
1632,2009,Joseph P Magliano
1632,2009,David N Rapp
1633,2009,Stella F Lourenco
1633,2009,Matthew R Longo
1634,2009,Sarah Bernolet
1634,2009,Robert J Hartsuiker
1634,2009,Martin J Pickering
1635,2009,Mark Blair
1635,2009,Susan C Somerville
1636,2009,David Buttelmann
1636,2009,Malinda Carpenter
1636,2009,Michael Tomasello
1637,2009,Seyda Ozçalişkan
1637,2009,Susan Goldin-Meadow
1637,2009,Dedre Gentner
1637,2009,Carolyn Mylander
1638,2009,Jean-François Bonnefon
1638,2009,Aidan Feeney
1638,2009,Gaëlle Villejoubert
1639,2009,Marco Dadda
1639,2009,Laura Piffer
1639,2009,Christian Agrillo
1639,2009,Angelo Bisazza
1640,2009,Peter DeScioli
1640,2009,Robert Kurzban
1641,2009,Marko Nardini
1641,2009,Rhiannon L Thomas
1641,2009,Victoria C P Knowland
1641,2009,Oliver J Braddick
1641,2009,Janette Atkinson
1642,2009,Jeffrey M Zacks
1642,2009,Shawn Kumar
1642,2009,Richard A Abrams
1642,2009,Ritesh Mehta
1643,2009,Mark R Blair
1643,2009,Marcus R Watson
1643,2009,Kimberly M Meier
1644,2009,Victoria I Weisz
1644,2009,Pablo F Argibay
1645,2009,Jennie E Pyers
1645,2009,Tamar H Gollan
1645,2009,Karen Emmorey
1646,2009,Laurence Casini
1646,2009,Boris Burle
1646,2009,Noël Nguyen
1647,2009,Lynne C Nygaard
1647,2009,Allison E Cook
1647,2009,Laura L Namy
1648,2009,Edward B Royzman
1648,2009,Robert F Leeman
1648,2009,Jonathan Baron
1649,2009,Fei Xu
1649,2009,Stephanie Denison
1650,2009,João Veríssimo
1650,2009,Harald Clahsen
1651,2009,Tyler Davis
1651,2009,Bradley C Love
1651,2009,W Todd Maddox
1652,2009,Todd M Gureckis
1652,2009,Bradley C Love
1653,2009,Elsi Kaiser
